state,district,market,commodity,variety,arrivals_quantity,unit,date,source
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1481.12,Quintal,2026-08-20,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1428.57,Quintal,2026-08-21,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1348.01,Quintal,2026-08-22,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2181.82,Quintal,2026-07-07,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2181.82,Quintal,2026-07-08,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2222.22,Quintal,2026-07-09,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2264.15,Quintal,2026-07-10,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2264.15,Quintal,2026-07-11,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2264.15,Quintal,2026-07-13,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2222.22,Quintal,2026-07-14,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2264.15,Quintal,2026-07-15,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2222.22,Quintal,2026-07-16,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2222.22,Quintal,2026-07-17,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2264.15,Quintal,2026-07-18,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2307.69,Quintal,2026-07-20,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2376.24,Quintal,2026-07-21,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2400.0,Quintal,2026-07-22,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2352.94,Quintal,2026-07-23,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2352.94,Quintal,2026-07-24,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2307.69,Quintal,2026-07-27,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2352.94,Quintal,2026-07-28,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2400.0,Quintal,2026-07-29,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2352.94,Quintal,2026-07-30,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2352.94,Quintal,2026-07-31,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2307.69,Quintal,2026-08-03,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2264.15,Quintal,2026-08-04,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2285.71,Quintal,2026-08-05,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2222.22,Quintal,2026-08-06,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2264.15,Quintal,2026-08-07,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2222.22,Quintal,2026-08-08,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2142.86,Quintal,2026-08-10,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,2016.81,Quintal,2026-08-11,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1951.22,Quintal,2026-08-12,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1832.06,Quintal,2026-08-13,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1764.71,Quintal,2026-08-14,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1600.0,Quintal,2026-08-17,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1428.57,Quintal,2026-08-18,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1463.41,Quintal,2026-08-19,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1518.99,Quintal,2026-08-20,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1463.41,Quintal,2026-08-21,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1428.57,Quintal,2026-08-22,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1250.0,Quintal,2026-08-24,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1333.33,Quintal,2026-08-25,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
