date,market_name,state,commodity,modal_price,month,seasonal_context,data_note
2026-08-01,Lasalgaon APMC,Maharashtra,Onion,2050,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-04,Lasalgaon APMC,Maharashtra,Onion,2200,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-06,Lasalgaon APMC,Maharashtra,Onion,2251,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-07,Lasalgaon APMC,Maharashtra,Onion,2200,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-08,Lasalgaon APMC,Maharashtra,Onion,2180,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-10,Lasalgaon APMC,Maharashtra,Onion,2375,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-12,Lasalgaon APMC,Maharashtra,Onion,2685,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-13,Lasalgaon APMC,Maharashtra,Onion,2825,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-14,Lasalgaon APMC,Maharashtra,Onion,2870,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-17,Lasalgaon APMC,Maharashtra,Onion,3360,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-18,Lasalgaon APMC,Maharashtra,Onion,3700,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-19,Lasalgaon APMC,Maharashtra,Onion,3600,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-20,Lasalgaon APMC,Maharashtra,Onion,3551,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-21,Lasalgaon APMC,Maharashtra,Onion,3700,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-22,Lasalgaon APMC,Maharashtra,Onion,3951,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-07,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2250,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-08,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2250,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-09,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-10,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2150,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-11,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2150,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-13,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2150,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-14,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-15,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2150,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-16,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-17,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-18,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2150,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-20,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2100,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-21,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2025,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-22,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2000,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-23,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2050,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-24,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2050,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-27,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2100,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-28,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2050,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-29,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2000,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-30,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2050,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-31,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2050,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-03,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2100,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-04,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2150,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-05,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2125,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-06,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2200,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-07,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2150,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-08,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2200,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-10,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2300,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-11,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2475,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-12,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2575,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-13,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2775,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-14,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,2900,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-17,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,3250,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-18,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,3700,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-19,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,3600,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-20,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,3450,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-21,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,3600,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-22,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,3700,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-24,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,4300,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-08-25,Lasalgaon(Vinchur) APMC,Maharashtra,Onion,4000,8,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
