state,district,market,commodity,date,arrivals_quantity,arrivals_7d_avg,supply_pressure_index,pressure_level,data_status
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-20,2264.15,2206.6,102.61,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-21,2352.02,2225.14,105.7,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-22,2352.94,2240.85,105.0,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-23,2307.69,2253.06,102.42,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-24,2307.69,2284.08,101.03,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-27,2307.69,2302.06,100.24,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-28,2298.85,2313.0,99.39,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-29,2400.0,2332.41,102.9,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-30,2263.3,2319.74,97.57,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-31,2307.69,2313.27,99.76,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-01,2352.94,2319.74,101.43,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-04,2222.22,2307.53,96.3,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-06,2181.03,2289.43,95.27,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-07,2222.22,2278.49,97.53,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-08,2238.81,2255.46,99.26,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-10,2086.96,2230.27,93.57,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-12,1883.83,2169.72,86.82,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-13,1804.51,2091.37,86.28,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-14,1780.42,2028.25,87.78,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-17,1554.4,1938.74,80.18,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-18,1428.57,1825.36,78.26,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-19,1463.41,1714.59,85.35,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-20,1481.12,1628.04,90.98,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-21,1428.57,1563.0,91.4,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-08-22,1348.01,1497.79,90.0,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-07,2181.82,2181.82,100.0,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-08,2181.82,2181.82,100.0,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-09,2222.22,2195.29,101.23,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-10,2264.15,2212.5,102.33,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-11,2264.15,2222.83,101.86,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-13,2264.15,2229.72,101.54,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-14,2222.22,2228.65,99.71,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-15,2264.15,2240.41,101.06,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-16,2222.22,2246.18,98.93,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-17,2222.22,2246.18,98.93,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-18,2264.15,2246.18,100.8,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-20,2307.69,2252.4,102.45,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-21,2376.24,2268.41,104.75,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-22,2400.0,2293.81,104.63,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-23,2352.94,2306.49,102.01,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-24,2352.94,2325.17,101.19,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-27,2307.69,2337.38,98.73,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-28,2352.94,2350.06,100.12,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-29,2400.0,2363.25,101.56,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-30,2352.94,2359.92,99.7,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-07-31,2352.94,2353.2,99.99,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-03,2307.69,2346.73,98.34,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-04,2264.15,2334.05,97.01,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-05,2285.71,2330.91,98.06,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-06,2222.22,2312.24,96.11,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-07,2264.15,2292.83,98.75,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-08,2222.22,2274.15,97.72,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-10,2142.86,2244.14,95.49,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-11,2016.81,2202.59,91.57,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-12,1951.22,2157.88,90.42,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-13,1832.06,2093.08,87.53,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-14,1764.71,2027.72,87.03,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-17,1600.0,1932.84,82.78,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-18,1428.57,1819.46,78.52,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-19,1463.41,1722.4,84.96,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-20,1518.99,1651.28,91.99,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-21,1463.41,1581.59,92.53,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-22,1428.57,1523.95,93.74,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-24,1250.0,1450.42,86.18,LOW,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,2026-08-25,1333.33,1412.33,94.41,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
