state,district,market,commodity,variety,arrivals_quantity,unit,date,source,arrivals_7d_avg,arrival_trend
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-13,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-14,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-15,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-16,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-17,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-18,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-19,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-20,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-21,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-22,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-23,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-24,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-25,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-26,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-27,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-28,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-29,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-30,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-31,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-01,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-02,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-03,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-04,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-05,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-06,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-07,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-08,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-09,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-10,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-11,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-12,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-13,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-14,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-15,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-07,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-08,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-09,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-10,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-11,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-12,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-13,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-14,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-15,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-16,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-17,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-18,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-19,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-20,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-21,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-22,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-23,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-24,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-25,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-26,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-27,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-28,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-29,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-30,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-07-31,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-08-01,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-08-02,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-08-03,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-08-04,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-08-05,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-08-06,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-08-07,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-08-08,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1500.0,Quintal,2026-08-09,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,1500.0,STABLE
